site_no,nwsli,cdec_id,cdec_station_name,usgs_station_name_xwalk,cdec_group,cdec_basin,county,nws_flood_stage_ft,crosswalk_source,crosswalk_note,cnrfc_channel,cnrfc_location,cnrfc_nickname,cnrfc_gage_class1,cnrfc_gage_class2
10243224,BSSN2,NA,NA,"Big Spgs Ck South Channel Nr Baker, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10243260,LEHN2,NA,NA,"Lehman Ck Nr Baker, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10243700,CVCN2,NA,NA,"Cleve Ck Nr Ely, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10244950,STEN2,NA,NA,"Steptoe Ck Nr Ely, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10245960,COCN2,NA,NA,"Coils Ck Abv Horse Ck Nr Eureka, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10245970,RCKN2,NA,NA,"Roberts Ck Nr Eureka, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10246835,BWSN2,NA,NA,"Big Warm Spgs Nr Duckwater, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10249280,KCCN2,NA,NA,"Kingston Ck Blw Cougar Cyn Nr Austin, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10249300,TWRN2,NA,NA,"S Twin Rv Nr Round Mountain, Nv",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10251290,BHSC1,NA,NA,"Borehole Spg Channel Nr Tecopa Hot Spgs, Ca",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Borehole Spring Channel,Tecopa,Borehole Spring Channel - Tecopa,river,other
10251300,TCPC1,NA,NA,"Amargosa Rv At Tecopa, Ca",NA,NA,NA,12,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Amargosa River,Tecopa,Amargosa River - Tecopa,river,other
10251330,AMCC1,NA,NA,"Amargosa Rv Abv China Ranch Wash Nr Tecopa, Ca",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Amargosa River,Above China Ranch Wash,Amargosa River - Above China Ranch Wash,river,other
10251335,WLWC1,NA,NA,"Willow Ck At China Ranch, Ca",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Willow Creek,China Ranch,Willow Creek - China Ranch,river,other
10254050,ZSCC1,NA,NA,Salt C Nr Mecca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Salt Creek,Mecca,Salt Creek - Mecca,river,other
10254730,ZANC1,NA,NA,Alamo R Nr Niland Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Alamo River,Niland,Alamo River - Niland,river,other
10254970,IBCC1,NA,NA,New R At International Boundary At Calexico Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,New River,Calexico,New River - Calexico,river,other
10255550,ZNRC1,NA,NA,New R Nr Westmorland Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,New River,Westmorland,New River - Westmorland,river,other
10255810,BPCC1,NA,NA,Borrego Palm C Nr Borrego Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Borrego Palm Creek,Borrego Springs,Borrego Palm Creek - Borrego Springs,river,other
10255897,WWUC1,NA,NA,Sf Whitewater R Div Nr Banning Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,S Fork Whitewater River,Above Diversion Near Banning,S Fork Whitewater River - Above Diversion Near Banning,river,other
10257600,MSYC1,NA,NA,Mission C Nr Desert Hot Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Mission Creek,Yucca Valley,Mission Creek - Yucca Valley,river,other
10257720,CCCC1,NA,NA,Chino Cyn C Bl Tramway Nr Palm Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Chino Canyon Creek,Palm Springs,Chino Canyon Creek - Palm Springs,river,other
10258000,TQUC1,NA,NA,Tahquitz C Nr Palm Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Tahquitz Creek,Palm Springs,Tahquitz Creek - Palm Springs,river,other
10258500,PCNC1,NA,NA,Palm Cyn C Nr Palm Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Palm Canyon Creek,Palm Springs 5S,Palm Canyon Creek - Palm Springs 5S,river,other
10258700,MYNC1,NA,NA,Murray Cyn C Nr Palm Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Murray Canyon Creek,Palm Springs,Murray Canyon Creek - Palm Springs,river,other
10259000,ANRC1,NA,NA,Andreas C Nr Palm Springs Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Andreas Creek,Palm Springs,Andreas Creek - Palm Springs,river,other
10259050,GCDC1,NA,NA,Palm Cyn Wash Nr Cathedral City Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10259100,WWIC1,NA,NA,Whitewater R A Rancho Mirage Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Whitewater River,Rancho Mirage,Whitewater River - Rancho Mirage,river,other
10259200,DEPC1,NA,NA,Deep C Nr Palm Desert Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Deep Creek,Palm Desert,Deep Creek - Palm Desert,river,other
10259300,WTIC1,NA,NA,Whitewater R A Indio Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Whitewater River,Indio,Whitewater River - Indio,river,other
10259540,WIMC1,NA,NA,Whitewater R Nr Mecca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
10260500,DKHC1,NA,NA,Deep C Nr Hesperia Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Deep Creek,Hesperia,Deep Creek - Hesperia,river,other
